"角色名","角色名"
"备注信息","備註資訊"
"成员数量","成員數量"
"您确定要删除订单记录?","您確定要刪除訂單記錄?"
"角色名称","角色名稱"
"描述","描述"
"权限分配","許可權分配"
"全部选择","全部選擇"
"取消选择","取消選擇"
"成功创建新角色！","成功創建新角色！"
"请重新填写！","請重新填寫！"
"角色名不得为空","角色名不得為空"
"该角色名已经存在！","該角色名已經存在！"
"创建角色","創建角色"
"更新角色成功！","更新角色成功！"
"请重修改角色！","請重修改角色！"
"编辑角色","編輯角色"

"(管理员)","(管理員)"
"用户名","用戶名"
"注册日期","註冊日期"
"最后登陆时间","最後登陸時間"
"你的IP","你的IP"
"注册邮箱","註冊郵箱"
"管理员帐号不可以更改状态","管理員帳號不可以更改狀態"
"确定要删除子用户","確定要刪除子用戶"
"邮箱格式不合法","郵箱格式不合法"
"用户名必须是由字母或下划线开头的，字母、数字、下划线组成的六到二十个字符","用戶名必須是由字母或下劃線開頭的，字母、數字、下劃線組成的六到二十個字元"
"密码不得为空","密碼不得為空"
"基本信息","基本資訊"
"密码","密碼"
"必填","必填"
"选择角色","選擇角色"
"增加子用户","增加子用戶"
"该帐号已经存在！","該帳號已經存在！"
"添加子帐号成功","添加子帳號成功"
"用于接收验证码","用於接收驗證碼"
"重复密码","重複密碼"
"姓名","姓名"
"更新子帐号成功","更新子帳號成功"
"更新子帐号失败","更新子帳號失敗"
"编辑子用户","編輯子用戶"




