"配置名称","配置名稱"
"配置名称key","配置名稱key"

"您确定要删除Ebay帐号?","您確定要刪除Ebay帳號?"
"卖家","賣家"
"同步Item状态","同步Item狀態"
"过期时间","過期時間"
"启用订单","啟用訂單"
"启用刊登","啟用刊登"
"启用站内信","啟用站內信"
"启用评价","啟用評價"
"启用售前纠纷","啟用售前糾紛"
"启用纠纷","啟用糾紛"
"全部启用","全部啟用"
"点击关闭","點擊關閉"
"开启","開啟"
"点击开启","點擊開啟"
"验证成功","驗證成功"
"绑定ebay帐号","綁定ebay帳號"
"设置成功","設置成功"
"无该账号","無該帳號"
"eBay账户绑定失败，请检查操作是否有误，请检查网络连接是否正常。","eBay帳戶綁定失敗，請檢查操作是否有誤，請檢查網路連接是否正常。"
"eBay账户绑定成功","eBay帳戶綁定成功"
"操作失败","操作失敗"
"已被其他用户占用","已被其他用戶佔用"
"新增账号","新增帳號"
"新建amazon账号","新建amazon帳號"
"店铺名称","店鋪名稱"
"Marketplace列表","Marketplace列表"
"是否已启用","是否已啟用"
"查看amazon账号信息","查看amazon帳號資訊"
"编辑amazon账号信息","編輯amazon帳號資訊"
"您确定要删除亚马逊帐号?","您確定要刪除亞馬遜帳號?"
"merchant_id,access_key_id和secret_access_key都不得为空","merchant_id,access_key_id和secret_access_key都不得為空"
"请选择amazon国家","請選擇amazon國家"
"该店铺名或者merchant_id已经存在","該店鋪名或者merchant_id已經存在"
"amazon连通测试失败。","amazon連通測試失敗。"
"站连接不上，请检查amazon输入信息!","站連接不上，請檢查amazon輸入資訊!"
"email收发模块有异常，请联系小老板客服！","email收發模組有異常，請聯繫小老闆客服！"
"email连接测试失败。请检查账号和密码！","email連接測試失敗。請檢查帳號和密碼！"
"merchant_id不得为空","merchant_id不得為空"
"marketplace_id不得为空","marketplace_id不得為空"
"access_key_id不得为空","access_key_id不得為空"
"secret_access_key不得为空","secret_access_key不得為空"
"该amazon用户已经不存在","該amazon用戶已經不存在"
"需要有amazon_uid","需要有amazon_uid"
"需要输入正确的email账号和密码!","需要輸入正確的email帳號和密碼!"
"amazon国家添加出现异常，请联系客服!","amazon國家添加出現異常，請聯繫客服!"
"绑定amazon email出现异常，请联系小老板相关客服!","綁定amazon email出現異常，請聯繫小老闆相關客服!"
"amazon api账号信息设置","amazon api帳號資訊設置"
"请勾选国家分站(MarketplaceId). ","請勾選國家分站(MarketplaceId). "
"MarketplaceId跟国家的对应关系，点击这里","MarketplaceId跟國家的對應關係，點擊這裏"
"店铺名称(自定义)","店鋪名稱(自定義)"
"店铺名称并不是amazon提供的接口信息，是小老板内部管理该店铺的展示名称，可以是任意名字。","店鋪名稱並不是amazon提供的介面資訊，是小老闆內部管理該店鋪的展示名稱，可以是任意名字。"
"是否启用","是否啟用"
"邮箱密码","郵箱密碼"
"邮箱账号","郵箱帳號"
"amazon卖家邮箱设置","amazon賣家郵箱設置"
"如果不知道怎么填写，请点击这里","如果不知道怎麼填寫，請點擊這裏"
"帮助文档","幫助文檔"
"MarketplaceId跟国家名称的对应关系","MarketplaceId跟國家名稱的對應關係"
"至少需要选择1个国家","至少需要選擇1個國家"
"成功创建","成功創建"
"店铺关闭确认","店鋪關閉確認"
"该amazon账号下","該amazon帳號下"
"店铺将会被关闭，相应的订单也不再同步。是否确定?","店鋪將會被關閉，相應的訂單也不再同步。是否確定?"

"授权速卖通账号","授權速賣通帳號"
"编号","編號"
"速卖通账号","速賣通帳號"
"请选择需要修改的账号","請選擇需要修改的帳號"
"授权成功！","授權成功！"
"账号不存在","帳號不存在"
"账号修改成功","帳號修改成功"
"同步状态","同步狀態"
"失败次数为3时会自动停止同步，需要重新同步！","失敗次數為3時會自動停止同步，需要重新同步！"
"队列编号","隊列編號"
"失败次数","失敗次數"
"同步订单时间段开始时间","同步訂單時間段開始時間"
"同步订单时间段结束时间","同步訂單時間段結束時間"
"最后同步时间","最後同步時間"
"同步失败错误信息","同步失敗錯誤資訊"
"重新同步","重新同步"
"重新同步设置成功！","重新同步設置成功！"
"重新同步设置失败！","重新同步設置失敗！"
"请选择需要重新同步的账号！","請選擇需要重新同步的帳號！"
"未同步","未同步"
"没有行被选中！","沒有行被選中！"
"删除失败！","刪除失敗！"
"确定重新同步选中的订单?","確定重新同步選中的訂單?"
"已删除！","已刪除！"
"确定删除选中队列数据?","確定刪除選中隊列數據?"
"速卖通订单产生时间","速賣通訂單產生時間"
"未处理","未處理"
"同步中","同步中"
"同步成功","同步成功"
"同步失败","同步失敗"
"小老板订单号","小老闆訂單號"
"速卖通订单号","速賣通訂單號"
"物流代码","物流代碼"
"物流方式中文名","物流方式中文名"
"跟踪号","跟蹤號"
"标记类型","標記類型"
"跟踪号查询网址","跟蹤號查詢網址"
"队列生成时间","隊列生成時間"
"重新标记","重新標記"
"查询网址","查詢網址"
"请选择需要重新标记的行","請選擇需要重新標記的行"
"标记类型all/part","標記類型all/part"
"标记时间","標記時間"
"标记失败错误信息","標記失敗錯誤資訊"
"该功能正在开发中","該功能正在開發中"

"不可编辑!","不可編輯!"
"PayPal帐号不可编辑！","PayPal帳號不可編輯！"
"您确定要删除PayPal帐号?","您確定要刪除PayPal帳號?"
"到Paypal官网绑定小老板应用","到Paypal官網綁定小老闆應用"
"输入Paypal用户名","輸入Paypal用戶名"
"绑定paypal帐号","綁定paypal帳號"
"新增失败","新增失敗"
"你已成功添加PAYPAL帐号!","你已成功添加PAYPAL帳號!"
"添加未成功，请重试!","添加未成功，請重試!"
"该帐号已存在，可能已被他人绑定","該帳號已存在，可能已被他人綁定"
"帐号不可用, 或者绑定未成功","帳號不可用, 或者綁定未成功"
"连接超时，请重新检测","連接超時，請重新檢測"
"帐号可以使用","帳號可以使用"





